Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded,
189,(For well done steaks cook for 4 to 5 minutes longer.) Serve immediately.,d,0,0,0,1,
190,"Between commencing his bachelorâ€TMs degree and finishing his PhD, he was also, among other things, an elevator operator, a gardener, a dairyman, a cook, a waiter, a journalist and an editor.",m,0,1,0,0,
191,Now add the risotto rice and saffron to the frying pan and cook for one minute at a medium temperature.,d,0,0,0,1,
192,Then add the meat and its marinade and cook on a low heat until the meat is almost done.,d,0,0,0,1,
193,"Decks? â€o -- -Starless and bible black sabbath- www.myspace.com/konekosphasespacejazz login or register to post comments gothfrogette Posts: 9 Joined: 2005-09-01 editd from editd from newsletter vegan/veggie caterer on site as well as, twice daily meat cook up with burgers and bacon sarnies etc. There is also a farm shop onsite where you should be able to get all your daily supplies of milk, sugar and bread etc. Self catering is fine but please ensure you dont burn the grass wiht your cooking equipment, portable BBQâ€TMs etc must be elevated so once weâ€TMve left the sheep and cows arenâ€TMt forced to eat cooked grass login or register to post comments koneko_Cosmo Posts: 18 Joined: 2006-03-21 ahhh, thanks you.",d,0,0,0,1,
194,"""For goodness sake,"" said Clive, ""how possibly can the best cook in Britain be decided by an Australian wobble-boarder, a showbiz fiend, a dancer bloke and a spikey-haired bloke?!",u,0,0,1,0,
195,"Mark will travel to the winner''s house, provide all the food and cook for a dinner party of eight people.",m,0,1,0,0,
196,"A cook since she childhood and an authoritive food and nutrition writer, Miles has synthesised her full range of expertise in eating for balance and energy in her latest book, The Feng Shui Cookbook . Miles is the founding editor of Diet Designs Digest, a food and nutrition newsletter addressing current issues in nourishing the body and mind.",f,1,0,0,0,
197,"The publican called the cook back in, and dusted off the rooms which I''m sure hadn''t seen many guests in recent times.",u,0,0,1,0,
198,It is normally possible to hire a cook on the island.,u,0,0,1,0,
199,Add the vegetables and cook until browned.,d,0,0,0,1,
200,Immerse yourself in the ancient mystery of this magical city Stay at a privately owned riad in the heart of Marrakesh where beautifully restored rooms are built around a central courtyard of fountains and orange trees The riad is an oasis of calm and tranquility amidst the bustling atmosphere of narrow streets and fascinating souks The cooking is wonderfully relaxed Under the guidance of a Berber cook you will prepare authentic Moroccan dishes in the way they have been made for centuries.,u,0,0,1,0,
201,"Her father read a draft prospectus warily, and her aunt dropped fragments of her projects for managing while the cook had a holiday.",u,0,0,1,0,
202,"Melt the remaining butter and stir in the flour, cook for 1-2 minutes, stirring, then add the reserved liquor.",d,0,0,0,1,
203,"Add the flaked almonds, soy sauce and marjoram and cook for a further few minutes. 8.",d,0,0,0,1,
204,Girma turned out to be a very good cook.,u,0,0,1,0,
205,"Pour the mixture onto the greased dish and bake and cook for 45 minutes, until golden brown and the mixture has blistered. 4.",d,0,0,0,1,
206,"You may already consider yourself a good cook, cooking for friends and family and at dinner parties.",u,0,0,1,0,
207,"Seth, Saeed Jaffrey My Super Ex-Girlfriend (12A) Limited release With: Ivan Reitman, Uma Thurman, Eddie Izzard, Luke Wilson, Anna Faris When a regular guy dumps a superheroine because of her neediness, she uses her powers to make his life a misery Mysteries Of Egypt (U) Very limited release With: Omar Sharif, Bruce Niebaur, Kate Maberly Mystery Movie (18) Very limited release Nacho Libre (12A) General release With: Jack Black, Jared Hess, Ana de la Reguera, Hector Jimenez A cook who works at a monastery moonlights as a wrestler to win cash to help an orphanage.",u,0,0,1,0,
208,"limits (max 3 units a day for men, 2 for women; avoid binge drinking). o Eat at least five portions of fruit and vegetables daily (only one allowed from juice). o Don''t eat too much fat (especially saturated fat). o Eat plenty of foods rich in starch and fibre (bread, cereals, rice, pasta, potatoes, fruit and vegetables). o Don''t eat sugary foods too often (cakes, biscuits, confectionery). o Eat plenty of fresh foods and cook vegetables as little as possible to retain the maximum amount of vitamins and minerals. o Eat the right amount to be a healthy weight (keep your body mass index between 20-25). o Drink 2 litres (8 glasses) of water a day. o Allow yourself a treat once or twice a week, whether it is a takeaway, or a few glasses of wine, so that healthy eating does not feel like a chore.",d,0,0,0,1,
209,"Turn down the heat to medium and cook for 15-20 minute, Drain well.",d,0,0,0,1,
210,"COOK, S, MACAULEY, S and COLDICOTT, H. 2004.",d,0,0,0,1,
211,"An accomplished cook, Graham''s training includes experience at the K-Club, Hibernian and Merrion Hotels.",m,0,1,0,0,
212,Three meals a day are prepared by a cook and an assistant with teas and coffees available for guests to help themselves.,u,0,0,1,0,
213,"These inspiring recipes are readily available ingredients, making Foolproof French Cookery the perfect guide for the experienced cook and novice alike.",u,0,0,1,0,
214,"Add 175g/6oz skinless turkey, cut into strips, and cook until brown.",d,0,0,0,1,
215,"Remove the foliage, and cook for 7 minutes in boiling water.",d,0,0,0,1,
216,"Is sex of cook or yield of cow, Or rice disease or kitchen row, The reason for the inconsistent making?",u,0,0,1,0,
217,Pax Lodge World Centre is looking for a qualified or very experienced chef/cook to help run its busy kitchens in London (Hampstead).,u,0,0,1,0,
218,"crucial that GPs, community-based nurses and dietitians work together to develop evidence-based protocols for the management of undernutrition in the community, with clear guidelines on the use and monitoring of ONS. - end of page 18 - Table 4: Suggestions for increasing energy and protein intake of the diet Key strategies Suggestions for practical advice/support Identify primary reasons for poor intake - Refer to GP for treatment of depression, nausea etc - Contact social services re meals on wheels, home help, luncheon clubs, local meal delivery services if unable to cook/shop Increase the portion size give guide on target portions of meat/fish/milk etc - Advise to increase the amount of milk used eg milky drinks and puddings - Give guidance on portion size of meals eg increase amount of meat and potatoes - Take something cooked at breakfast eg bacon and eggs - Take proper puddings eg fruit crumble and custard Increase frequency of consumption (eg if appetite small/nauseated) Increase energy and protein dense food and if necessary also reduce low energy density foods/fluids - Take 5-6 small meals",d,0,0,0,1,
219,"Under the supervision of cook Mary Woodfine, they serve 20-30 nursery meals a day and about 50 meals a day, including sandwiches and home made soups, to the community.",f,1,0,0,0,
220,"I was trying to explain why I think that initially following the recipe carefully is important, and the whole point of this is while I think I have reached a fair degree of competance now when I started I was as ignorant as any beginner; but the difference that made me a good cook in the eyes of my friends was simply that I followed the recipes.",u,0,0,1,0,
221,""" Another pupil, Phoebe, said ""the school cook made some fruity snacks for children, teachers and parents to taste.",u,0,0,1,0,
222,Friday night when we set sail And our ship not far from land I there did spy a fair pretty maid With a comb and a glass in her hand And the raging seas did roll And the stormy winds did blow There were we jolly sailor boys sitting up aloft And the landlubbers lying down below Then up spoke the little cabin boy And a fair haired boy was he I''ve a father and mother in fair Portsmouth town And tonight they a-weeping will be And up spoke the cook from our gallant ship And a very good cook was he I''ve a wife who loves me in fair London town And tonight she a widow will be And three times round went our gallant ship Three times round went she Three times round went our gallant ship And then she sank to the bottom of the sea,m,0,1,0,0,
223,At first she''s just a little twitchy- explaining that she used to be a cook at Camp Crystal Lake back in the 50''s; just before a terrible accident...,f,1,0,0,0,
224,"Bill Lister , disguised in the beard that made Fruity Biffen look like an Assyrian monarch, terrorises Veronica Wedge . He then tries to pass his note to Lady Hermione Wedge in the mistaken belief that she is the castle cook.",f,1,0,0,0,
225,Smith started off his working life as a cook at Christ Church.,m,0,1,0,0,
226,"However, I remember I went to the company cookhouse for rations - they were a grand lot in the army - the Sergeant cook said ""well Cheall, what are you after?",u,0,0,1,0,
227,"By her own account, Mrs Stevens was not an experienced cook and, as she described them to us, there does not seem to have been a great deal wrong with the onions.",f,1,0,0,0,
228,"We have a 4wd van and a driver to accompany us all the time, plus guides, a cook and an interpreter (me).",u,0,0,1,0,
229,"Next, add the herbs and cook for a few seconds.",d,0,0,0,1,
230,"Mrs Rita Carr arrived as ""cook in charge"" rather than caterer.",f,1,0,0,0,
231,"Staff Housekeeper, cook available on request, 24 hour security.",u,0,0,1,0,
232,I am a keen cook and often spend my time at the various markets across London.,u,0,0,1,0,
233,Return to a gentle heat and cook for 1 minute stirring all the time.,d,0,0,0,1,
234,"I hope you can help me and I am running out of ideas. regards and many thanks Lorraine 18.03.2005 Hi looking 4 a STEVE or STEVEN TODD who lives in York he used to live in Osbaldwick ,he worked 4 abb his bda6y is 16th march he b 40,his mum is called Val, he had a son in 1988 2 a Angela cook ,his sons name is Benedict ,Ben now lives in Lowestoft and really would like to find his dad please any1 that can help please send mess, I am his sis helping him I still live in York but no luck finding Steve yet thanku. 20.03.2005 I am looking for ANDREW GAY (birth name), he was born in Bristol on the 17th August 1968,his birth mums name is Marian who will be 61 this year, I am his younger sister who was also placed for adopted in 1971,I have",d,0,0,0,1,
235,"Corbels supporting the roof timbers have wonderful carvings including a monk with a sheaf of corn, a forester with his axe and a cook with a ladle.",u,0,0,1,0,
236,"Return the mixture to the rinsed out pan and cook, stirring all the time, over a moderate heat, until lightly thickened. 7.",d,0,0,0,1,
237,"Sabatier are another popular brand who also have a five piece knife set which includes a parer, carver, cook, utility and bread knives.",d,0,0,0,1,
238,The cook had given me a couple of onions and I give her them.,u,0,0,1,0,
239,"Slash the top with a sharp knife, brush with the beaten egg to give a golden colour and cook for 1 hour. 5.",d,0,0,0,1,
240,"The artificers so far have been on cookers and general cook house equipment, and have not been otherwise bothered.",d,0,0,0,1,
241,"A friend who knew that I had an interest in Buddhism recommended a small retreat centre outside of Limoges that needed a part-time cook, so I went there, not really knowing what to expect.",u,0,0,1,0,
242,"The new method is based on the fast RF-heating of vacuum-packed fish products immersed in de-ionised water of very low electric conductivity, following fast cooling or freezing (cook/chill or cook/freeze).",d,0,0,0,1,
243,"Nurses and laundrywomen now received 1s. per week, the inmates who taught handwriting in the girls'' school and who laid out the dead received 1s.6d, and the cook and barber received 2s.",u,0,0,1,0,
244,"When not rowing she is a lawyer, wife, gardener and cook.",f,1,0,0,0,
245,"Media browser - click on picture to select Lateral view of a preserved specimen of Pseudoplatystoma tigrinum An Amazonian beauty, Pseudoplatystoma tigrinum , held up to my camera by the boat''s cook Recently caught specimen of Pseudoplatystoma tigrinum viewed from above A recently caught specimen of Pseudoplatystoma sp.",u,0,0,1,0,
246,Always cook in a well-ventilated area and avoid cooking in a confined space (such as a tent). 3.,d,0,0,0,1,
247,"Heat rating: Medium Cooking instructions Mix onion, peppers, chicken, oil and seasoning from cap. Heat a large frying pan and cook chicken mixture over high heat until well browned.",d,0,0,0,1,
248,"So, although we can see the makings of the proficient cook from those early toddler days, it''s difficult to see the makings of the present day successful actuary....",u,0,0,1,0,
249,"Oh, and the two windows overlooking the garden and valley give the cook plenty to see!",u,0,0,1,0,
250,Vegetarian food prepared by resident cook.,u,0,0,1,0,
251,"Our small number of Nepalese cook staff, work tirelessly to satisfy our needs; providing us at Base Camp with three meals a day and a constant supply of hot water (tato panni).",u,0,0,1,0,
252,Henry david thoreau tourcall captain cook.,m,0,1,0,0,
253,"We loved colour and the inspired medieval cook made dishes coloured with saffron, marigold and bright green herbs.",u,0,0,1,0,
254,"Remove the chicken from the pan, add the onion and garlic and cook until soft. 10.",d,0,0,0,1,
255,"Caroline is also our Weight Management Co-ordiantor, providing one to one sessions for members to sign up to, to help educate and control their weight through presentations, cook offs of Health recipes, and regular diet plans and weigh ins.",f,1,0,0,0,
256,"Sheila Crosby, who runs the pub with her husband Peter, is a terrific cook, and her lengthy menus and daily specials offer a choice that is second to none.",f,1,0,0,0,
257,"Add the carrots and cook for 2 minutes, stirring. 2.",d,0,0,0,1,
258,"Our first destination was Marchantaria Island, towards which we chugged our way as we ate breakfast, the first of many delicious and ample meals prepared by our cook.",u,0,0,1,0,
259,There''s also a cook and a girl...,u,0,0,1,0,
260,"Pour in the wine and cook over a high heat, stirring, until it has been absorbed. 3.",d,0,0,0,1,
261,Cook/C.,d,0,0,0,1,
262,No cook and no domestic staff were employed.,u,0,0,1,0,
263,"Sasha Hazael has been a cook and food stylist for photography, advertising, design companies and editorial for fifteen years.",f,1,0,0,0,
264,"The historian in this situation is not a chemist capable of making a forensic study, but a cook attempting to unscramble eggs.",d,0,0,0,1,
265,"That night we had yet another cook in sauce curry, I think we have now done the full range!",d,0,0,0,1,
266,"buy or sell healthcare properties estate agents worcester arizona real estate schools gifts to buy the home gourmet cook houston real estate listings property developers cyprus estate agents homes for sale in charleston, sc buy palm harbor property buy your own home international relocations specialist lake forest california real estate arizona bad credit mortgage loans house plans and tower Pinehurst Real Estate, Seven Lakes Real Estate, Moore County Real ... If you are ready to buy property in the next six months, and are willing to sign an Exclusive Buyer Agent agreement with me, you may choose Dream Home Finder and fill in the requested information. http://www.pinehurstrealestate.net/ Buyer Team Realty -- Exclusive Buyer''s",d,0,0,0,1,
267,"Queenie was an excellent cook and I got to sample the pleasures of Armenian food over the course of my stay at Woodfield Road, feasting on stuff such as beoreg (a sort of cheese and filo dough samosa), cheoreg (Easter bread), yalanchi (pine nuts, rice, currants, and spices, wrapped in grape leaves), lachmajeun (a savoury Armenian pizza), keufta (spicy meatballs), and pilaf (rice and noodles).",f,1,0,0,0,
268,Wrap each fish in a foil parcel and cook on a preheated barbecue for 6-8 minutes on each side.,d,0,0,0,1,
269,"Thereupon a certain Adam de S t Albans, fearing this would happen, asked the cook and the clerk why they were beating the boy so maliciously.",u,0,0,1,0,
270,"The three fugitives come to a farmyard where a cock is sitting on a gate, crowing with all his might - the cook is planning to make him into soup the very next day!",u,0,0,1,0,
271,"We read in the Kindred Sayings (V, Mahaa-vagga, Book III, on the Stations of Mindfulness, Ch I, 8, The cook, II) that the Buddha spoke to the monks about a foolish monk he compared to an unskilled cook, and a wise monk he compared to a skilled cook.",u,0,0,1,0,
272,Then turn the squid over after about 3 to 4 minutes and cook on the other side; the squid should not be at all pink inside once it is cooked. 5.,d,0,0,0,1,
273,November 2004 Howes Percival Cake Bake Cookbook Launch 2004 Raising money for MS Society via a custom designed cook book full of recepies for home made cakes.,d,0,0,0,1,
274,"To get the most lycopene, cook tomatoes with a little ""healthful"" fat, such as olive oil.",d,0,0,0,1,
275,It also provided a surface on which the cook could work.,u,0,0,1,0,
276,"Some twenty minutes later, Sally Day, who was continually leaving the wheel to peer in at the cabin clock, announced in a shrill cry ''Fo''bell,'' and the cook was to be seen carrying the soup into the cabin.",u,0,0,1,0,
277,"Pan-to-hand-to-mouth food, these are sustenance for the twelve-minute interval before supper, and so when the first hundred are ready, the cook, the one called Bice, hands me the tray and says, ''Vai, go'' without looking up.",u,0,0,1,0,
278,"Brush the baguette slices with olive oil, put on a baking tray and cook for approximately 8 minutes until golden.",d,0,0,0,1,
279,"Before he appeared, he heard a stir in the kitchen, saw preparations going forward, and glanced at me as he asked the cook the reason of this.",u,0,0,1,0,
280,"The first question was: ""Carole - it says in your Form F that you are not a very good cook.",f,1,0,0,0,
281,"The cook and the housemaid were very nice (I don''t mind telling you their names – they were Clara and Ethelwyn), but they told Mother they did not seem to want Mrs. Viney, and that she was an old muddler.",f,1,0,0,0,
282,"The family had four servants (a ladies-maid, cook, table-maid, and a housemaid, all Scottish-born).",u,0,0,1,0,
283,"Boil two quarts of salted water, and put the ribbons into it, and cook for ten minutes, then drain.",d,0,0,0,1,
284,"The cook and butler, who were advanced in years, thought that it was just as it should be; but the footman and lady''s maid, who were younger, thought it was a great shame that Mr Slope should lose his chance.",u,0,0,1,0,
285,He had taken lodgings locally - in Polperro I think - and used to sneak over for visits once the cook had gone back home.,u,0,0,1,0,
286,"On one occasion, Macmillan, Lord Salisbury and Roy Strong had been invited to dine with Lady Diana Cooper, but found on arrival that Lady Diana had confused the dates and given her cook the evening off.",u,0,0,1,0,
287,"She would work until called for her midday meal, which could be asked for any time between twelve and four, a constant annoyance to Mabel''s cook.",u,0,0,1,0,
288,Pour in the red wine and cook until reduced by half.,d,0,0,0,1,
289,"1 medium onion, 1 clove of garlic, 1 tsp curry powder, 1 tbsp olive oil, 2 tbsp ground almonds, 2 organic chicken breasts, 150g basmati rice, 2 tsp fresh coriander, 150g pot ot Yeo Valley Natrual Yogurt Method Heat oil in a frying pan and soften the onion, add the garlic and curry powder, cook on medium heat for 5 mins.",d,0,0,0,1,
290,A last-minute dramatic shift from melodrama highlighted with hilarious comic moments (flashbacks include Hilditch''s ritual humiliation as a child at the hands of his eccentric TV cook mother) to psycho-sexual thriller also detracts from the characters'' fates.,f,1,0,0,0,
291,Bring to a boil and cook until the chicken begins to change colour.,d,0,0,0,1,
292,"Luckily, some of the tastiest ways to cook poultry are also some of the healthiest.",d,0,0,0,1,
293,A great little company and a great little cook book!,d,0,0,0,1,
294,"Our client, a privately owned residential home, located in one of Sheffield''s most affluent suburbs are looking to recruit a part time cook/chef to work 30 hour a week.",u,0,0,1,0,
295,"Tommy''s meals would first be drawn, as raw materials, from the Bread and Meat Stores using the 18-inch round meat dish and carried to the cookhouse for the regimental cook and his helpers to convert into an appetising meal!",u,0,0,1,0,
296,"Disc-jockeys and crew, from the left: Mark West , Steve Merike , Tony Allan , Drew Main (engineer), Len Ingram alias ""Klinker"" (cook), Tommy Connor (engineer), Brian Webb , Bob Donnelly (engineer), Richard Park and John Kerr . Click on an image below to enlarge.",m,0,1,0,0,
297,"Sally Donegani < Go back to the top of this page Paul Bunyan - Cast List Four Young Trees Julie Partridge, Sue Foister, Colin Fleming, Dave Phipps Three Wild Geese Sally Donegani, Wendy Norman, Kuan Hon Narrator (Ballad singer) John Street Paul Bunyan Ellis C Pike Johnny Inkslinger Mark van Ments Tiny, daughter of Paul Bunyan Julie Partridge Hot Biscuit Slim (a good cook) Colin Fleming Sam Sharkey (a bad cook) Dave Phipps Ben Benny (a bad cook) Angus Henderson Hel Helson John Lofthouse Four Swedes Phil Hollman, Eduardo Clementi, Ian Ring, Jim Fisher John Shears (a farmer) Dave Phipps Western Union Boy a member of the London Oratory School, tba Fido (a dog) Tara Overend Moppet (a cat) Sally Donegani Poppet (a cat) Keri Atkins Quartet of the Defeated Sue Foister, Colin Fleming, Ian Ring, Ian Barker Four Cronies of Hel Helson David Lillie, Jim Fisher, Ian Ring, Phil Hollman < More info about Paul Bunyan < Go",u,0,0,1,0,
298,One of my grandmothers was a brilliant cook.,f,1,0,0,0,
299,Blend in liver spread and cook for additional 5-7 minutes. * you can substiture lamb for dog.,d,0,0,0,1,
300,"Delia Smith (TV cook) 6 April 2001 The Sound of Singing On Friday 6 April Carrie Fisher along with 3 young children went to see Sing-a-Iong-a Sound of Music at the Prince Charles Cinema, London.",f,1,0,0,0,
301,"Place the aubergine slices directly on the grill and cook over hot coals for 4 minutes, until lightly charred.",d,0,0,0,1,
302,"Wrap the bird in fat bacon and place in a covered tin, or wrap loosely in foil Place in hot oven for 30 minutes, reduce to 350o and cook for about 40 minutes longer depending on the size of the bird.",d,0,0,0,1,
303,""" ""Because when I was cook in the Hotel ''Centro'' in Gerona, the owners had a nephew who wanted to be a priest.",u,0,0,1,0,
304,"I forgot that bit before and it made things difficult because we couldn''t drink, wash, wash our hands, cook stuff, boil stuff, go to the toilet or, most horrifically, brush one''s teeth, for a good 36 hours.",d,0,0,0,1,
305,"Tony crashed a truck, the seismograph failed to work, the cook left and accidents with a drill lost a fifteen thousand dollar contract.",u,0,0,1,0,
306,The group cook and eat a healthy meal and are given a recipe sheet to take home with them.,u,0,0,1,0,
307,"Hila Lippman, a Polish Jewess, said that at Belsen she was a cook in kitchen No. 1 in camp 1.",f,1,0,0,0,
308,Relax and let the captain and his crew (especially the cook) take care of you.,u,0,0,1,0,
309,Corps Signals between 1977 and 1993 alan boooth was at Corps Signals between 1957 and 1969 Steve Bovan was at Corps Signals between 1980 and 1998 leslie brookes was at Corps Signals between 1976 and 2004 mick Brown was at Corps Signals between 1978 and 2002 Stephen Burns was at Corps Signals between 1988 and 0 ian campbell was at Corps Signals between 1977 and 1991 JOHN(nobby) CLARKE was at Corps Signals between 1995 and 1997 bernard clarke was at Corps Signals between 1946 and 1948 Donald Cleghorn was at Corps Signals between 1958 and 1980 louis cook was at Corps Signals between 1954 and 1954 graham cooper was at Corps Signals between 1966 and 1969 DANIELLE CRITCHLOW was at Corps Signals between 1995 and 0 gerald dear was at Corps Signals between 1983 and 1999 Ted Devanney was at Corps Signals between 1960 and 1963 william dewhurst was at Corps Signals between 1964 and 1986 Graham Dorward was at Corps Signals between 1998 and 2004 karen dougall was at Corps Signals between 0 and 0 BOB DUFF was at Corps Signals between 1975 and 1993 patrick earl was at Corps Signals between 1937 and 1956 PAUL MICHAEL,d,0,0,0,1,
310,"risks they are taking if they fail to restrain their children on routine car journeys. 29 June 2006 Hairstyles to dye for BEAUTY: Turning that grey hair black may have seemed like a good idea at the time and there can''t be many people who haven''t tried the peroxide blond look, but it''s all too easy to end up with a rather odd looking head of hair. 28 June 2006 A diet on your doorstep ... It may be the secret to many a celebrity''s enviably slim figure, but a live-in cook isn''t an indulgence we can all afford.",u,0,0,1,0,
311,"The boat was close to the vessel and William Heddles, who had been at the wheel, jumped and was picked up, but James Timbrell the Jamaican cook, would not even though he was told to use one of the lifebuoys.",m,0,1,0,0,
312,Bring to a simmer & cook for 10 minutes Melt the Soya spread and add the flour to make a roux by stirring together over the heat.,d,0,0,0,1,
313,"An example would be ""isn''t she a marvellous cook?",f,1,0,0,0,
314,"When the tortilla is the required size, cook on a hot griddle/pan until covered with brown patches - it should still be flexible.",d,0,0,0,1,
315,"The captain, mate, Chips, cook and myself formed the ""afterguard"".",u,0,0,1,0,
316,I turned on deck not knowing the face of the cook. 20th.,u,0,0,1,0,
317,"GMTV cook up Christmas treat for Georgeline (13/12/2005) GMTV cooked up a surprise Christmas treat for Council chef Georgeline Udenwoke as she prepared meals at Mayesbrook older people''s home, Barking, last week.",d,0,0,0,1,
318,"Put some water on to boil asap too - In dry weather, cook well away from your tent - Never cook inside your tent - Keep all your equipment as tidy as possible - PUT ALL EQUIPMENT INSIDE YOUR TENT AT NIGHT - leave nothing out WASHING UP - Wash up in the designated wash up sinks at the campsite - If there are none, DO NOT WASH UP UNDER THE DRINKING WATER TAP!! - Take away some water in a pan and make this your washing up bowl.",d,0,0,0,1,
319,"This is food for the senses and its making will engender huge satisfaction for the cook. £25, Weidenfeld & Nicolson Only the Best by Michel Roux This is for the true gourmand as Michel Roux takes you through the techniques and secrets that are needed to produce food of Michelin standard.",u,0,0,1,0,
320,"Our cook is also a black man, and Mr. Septimius Goring has a little darkie servant, so that we are rather a piebald community.",m,0,1,0,0,
321,"Top with grated cheese, cook on 125/150° (will vary with different ovens) until cheese browns and bubbles.",d,0,0,0,1,
322,"Put the butter, milk, dried fruit and caster sugar in a large pan and cook over a low heat for 2-3 minutes, stirring occasionally, until the butter has melted and the sugar has dissolved.",d,0,0,0,1,
323,Add mushrooms and cook for 2-3 minutes until juices run.,d,0,0,0,1,
324,"Then add: 1 tablespoon of dried apricots (I prefer them cut up quite finely so I forget that they are there) 1 pint of mayonnaise (yes, really 1 pint) 2 tablespoons of cream Before adding, cook for 3 minutes: 3 cold cooked chickens cut into slice pieces.",d,0,0,0,1,
325,"real estate rent to own or lease in florida homes realestate agent online estate agents north carolina house for sale property rentals systems how to rent a house who can buy property in hawaii gifts to buy the home gourmet cook sell property in harrison county mississippi Apartments to Let in Birmingham, Flats Rent Birmingham, Residential ... ... Lettings - Landlords can register with us, we are the best from of all lettings agents birmingham.",u,0,0,1,0,
326,"A quotation from a letter written by John Wheelwright at the beginning of the book reads: ''be a Socialist painter, as another is a Socialist cook, mechanic, lemon picker or as with Engels, manufacturer''.",u,0,0,1,0,
327,"On the day of St. Philip and St. James, 1304, the following nineteen were the professed of the priory: William Whaleys, prior; Adam de London, fraterer; Henry de Kersalton, pittancer; Henry de Blockele; Peter de Cheynham, precentor; Ralph de London, cook; John de Gatton; Geoffrey de Wendover; John de Lech lade; Roger de Wynton, sub-prior; Roger de Reygate, cellarer (erased); Symon de Westminster; John de Cantuar; John de Northampton; John de Wynton, sub-cellarer; Robert de Kancia, cellarer; Robert de Wells; and John de Ardenere.",m,0,1,0,0,
328,"Our engineer, electrician, cook and confidante.",u,0,0,1,0,
329,Brush sausages with a little oil and cook on a grill pan on a medium heat 7.,d,0,0,0,1,
330,"Chef, Paul Lane, was a key player in SAW hosting a cook off attended by Lesley Waters.",u,0,0,1,0,
331,"Melt the butter in a medium saucepan, add the flour and cook over a medium heat for 2-3 minutes stirring constantly. 4.",d,0,0,0,1,
332,For the next fifteen years she was employed as a cook and cleaner and it was not until 1878 that she was accepted as a student nurse.,f,1,0,0,0,
333,"The window sills of the cook house are still there in the wall across the lane, left.",d,0,0,0,1,
334,"So amidst the many IT courses, courses that provide experience in, say another language, courses which enable one to keep fit and healthy, or cook in a new way, one finds the occasional bizarre one such as palmistry, or Tarot Card reading, or other such oddities.",u,0,0,1,0,
335,Ingredients: Streaky bacon cut into 3cm strips Smoky bacon (if you like a smokier flavour) cut into 3cm strips Leek sliced Brussel sprouts sliced into threes Garlic crushed Soy sauce a splash Balsamic vinegar a splash Olive oil White basmati rice Method: Cook bacon with garlic in oil then remove from pan.,d,0,0,0,1,
336,It just did not say â€œcome and cook from meâ€?.,d,0,0,0,1,
337,Geoffrey''s grandmother was Joseph Chamberlain''s cook.,f,1,0,0,0,
338,"The Classical Cookbook 50 recipes allow the modern cook to recreate the varied diet of the classical world, from the banquets of the rich to the simple meals of soldiers, farmers and slaves.",u,0,0,1,0,
339,Built-in ovens are available in a wide array of styles and can accommodate the needs of every chef; from the busy single who entertains occasionally to the world-class cook who prepares a four-course dinner every night.,u,0,0,1,0,
340,Mum is given the job as canteen cook after all she can''t be as bad as Olive 73.,f,1,0,0,0,
341,"Mr. Steyne had dined, but he nevertheless ate a hundred scolloped oysters, in the preparation of which my cook was wonderfully expert; he also honoured the champagne with equal attention.",u,0,0,1,0,
342,""" grunted cook, with a shudder of disgust.",u,0,0,1,0,
343,"This hotel is run by Albert (the Jenkins'' former cook), and here Nick meets Bob Duport who, during an evening''s drinking, tells Nick of Jean''s series of lovers which Nick still finds painful.",m,0,1,0,0,
344,"To my disbelief I saw one man, the cook, on his knees praying at the cabin stove as if it was an alter.",m,0,1,0,0,
345,"They are met by the newly hired cook, butler and secretary, but their host never shows up, and one by one they are killed off.",u,0,0,1,0,
346,"Then another drama, The Secret Life of Mrs Beeton, will tell the story of the Victorian cookery writer who - er - revolutionised the way the British cook.",f,1,0,0,0,
347,Add a big handful of pine nuts and the rice and cook for another 5 minutes.,d,0,0,0,1,
348,"On these steps, by-the-by, I have not unfrequently seen Madame Pelet seated with a trencher on her knee, engaged in the threefold employment of eating her dinner, gossiping with her favourite servant, the housemaid, and scolding her antagonist, the cook; she never dined, and seldom indeed took any meal with her son; and as to showing her face at the boys'' table, that was quite out of the question.",u,0,0,1,0,
349,Mr. B__ is merely extorting a cook.,u,0,0,1,0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
